+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_rise_s_reg[3]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst1/data_rise_s_reg[2]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_fall_s_reg[2]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_fall_s_reg[3]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst3/data_fall_s_reg[0]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst1/data_rise_s_reg[3]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst1/data_rise_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst1/data_fall_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_rise_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_fall_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst3/data_rise_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst3/data_fall_s_reg[4]/D|
|        clk_25m_clk_wiz_0 |       clk_125m_clk_wiz_0 |                                           top_hdmi_inst/hdmi_ctrl_inst/par2ser_inst2/data_fall_s_reg[0]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
